#deck:My-SA-Deck
#number_of_cards:61
#html:true
#notetype column: 2
#tags column: 5
#tags: AWS 
Card001;Cams basic+;What is the cost of enabling IPv6 Ip addresses in your VPC;This is included as part of IPAM free tier;VPC
Card023;Cams cloze+;When is Memory leakage between lambda invocations possible?<br>a) It is never possible. The lambda service scrubs memory between each invocation.<br>b) When using third party libraries in multiple invocations in the same execution environment.<br>c) Global Variables and objects stored in the INIT phase<br>d) Only when the lambda warm start feature is enabled.<br>Correct:{{c1:: b is the answer. C is true but not the answer. Others are just wrong}}<br>;; Lambda
Card024;Cams cloze+;Which of the following are true about CloudTrail trails?<br>a) Single Region trails can be generated in the console<br>b) Trails log data events by default<br>c) An optional log validation feature can be used to pass digests to S3<br>d) Trails logged to an S3 bucket are stored in text format<br>Correct:{{c1:: Only c is true}}<br>;; CloudTrail Logging
Card025;Cams cloze+;What is true of Cloud Trail logs?<br>a) CloudTrail can integrate with CloudWatch<br>b) CloudWatch is not RealTime<br>c) CloudTrail only logs management events by default<br>d) Trails logged to an S3 bucket are stored in text format<br>Correct:{{c1:: a, b and c are true}}<br>;; CloudTrail Logging
Card026;Cams cloze+;What does CloudTrail enable?<br>a) The logging of AWS API events such as log ons and resource deletions<br>b) Successful SSH connections  <br>c) Successful codecommit commits<br>d) DDOS attacks<br>Correct:{{c1:: a is true. Not sure about c}}<br>;; CloudTrail Logging
Card027;Cams cloze+;Which of the following is Enabled by default on CloudTrail<br>a) 90 day logging of Managment events<br>b) 30 day logging of Data Events<br>c) Integration with CloudWatch<br>d) S3 object access calls<br>Correct:{{c1:: a is true }}<br>;; CloudTrail Logging
Card028;Cams basic+;What is AWS STS; AWS Security Token Service is an integral part of the AWS IAM set of Services. It is used to provide shortlived access tokens to trusted users. Examples of API calls it supports include:<br>GetFederationToken<br>GetSessionToken<br>AssumeRole; IAM STS
Card029;Cams cloze+;AWS Xray can be configured to trace requests an application makes to other AWS services. Which AWS services are compatible with Xray?<br>a) Lambda<br>b) Amazon EC2<br>c) Amazon S3<br>d) Amazon ECS<br>Correct:{{c1:: a, b, d}}<br>;; Xray Lambda EC2 ECS
Card030;Cams cloze+;How does AWS facilitate the network connectivity of lamdas configured within a VPC?<br>a) An ENI is created for each function invocation within the subnet<br>b) A lambda gatway is configured within the VPC by which all functions can connect to the VPC<br>c) AWS analyses all functions for a given account and region and creates ENIs for each security group and subnet<br>d) Lambda functions are public and cannot be configured within a VPC<br>Correct:{{c1:: c}}<br>;; Lambda EC2 VPC
Card031;Cams cloze+;The AWS Lambda service requires an {{c1::execution policy}} to access {{c2::AWS services}}. As well as this the Lambda service can be configured with {{c3::Resource Policies}} which {{c4::allow other accounts to invoke the lambda}}.;; Lambda IAM
Card032;Cams cloze+; Which of the following would be required to host a lambda in a VPC with public internet access and access to a database in a private subnet?<br>a) An IAM role to allow the Lambda service to create Elastic Network Interfaces in a VPC<br>b) The Lambda needs to be configured to be in the private databases subnet<br>c) There needs to be a public subnet in the VPC<br>d) There needs to be a NAT gateway in the public subnet<br>Correct:{{c1:: a,b,c,d (You should try and configure this)}}<br>;; Lambda EC2 VPC NATGateway
Card033;Cams cloze+; By default Lambda functions are given public networking. What does this mean?<br>a) AWS Lambda functions have network access to AWS services in the public zone<br>b) Internet users can invoke the Lambda functions via Lambda function URLs<br>c) Other AWS accounts can invoke your Lambda function<br>d) Lambda functions have access to the Open internet<br>Correct:{{c1:: a,d}}<br>;; Lambda 
Card034;Cams cloze+; What is true of the AWS Lambda service?<br>a) The Lambda service is a serverless service<br>b) The Lambda service is a managed service<br>c) Lambda functions are a Software as a Service<br>d) The Lambda service is a global service<br>Correct:{{c1:: a,b}}<br>;; Lambda 
Card035;Cams cloze+; What is true of AWS Service Control Polices?<br>a) They are a type of IAM policy<br>b) They grant access to AWS resources<br>c)They apply to users in the management account.<br>d) SCPs set maximum permissions for IAM users and roles within an Organization<br>Correct:{{c1:: d}}<br>;; Service_Control_Policies
Card036;Cams cloze+; What is true of AWS Service Control Polices?<br>a) If an account is using an IAM permissions boundary the Service Control Polices are overridden.<br>b) SCPs are available only in an Organisation that has all features enabled.<br>c)Along with Resource Control Polices (RCPs) SCPs are used to set maximum permissions for IAM users and roles within an AWS Organisation.<br>d) SCPs are written in yaml format.<br>Correct:{{c1:: b,c}}<br>;; Service_Control_Policies
Card036;Cams basic+;What is AWS Multi Session Support?;A browser feature that allows different sessions in the same browser using different identities. Allowed by use of subdomains; IAM Console  
Card037;Cams cloze+; To enable high resolution the argument $RES in the command `aws cloudwatch put-metric-data` --namespace test --value 1 --metric-name test_metric --storage-resolution $RES should be?<br>a) 1<br>b) HIGH<br>c) 60<br>d) MAXIMUM<br>Correct:{{c1:: a}}<br>;; CloudWatch 
Card038;Cams cloze+; What is the limit on the file size in an instance of Elastic File System?<br>a) Unlimited<br>b) 5 TB<br>c) 47.9 TiB (>50TB)<br>d) 10 TiB (~10TB, <11TB) <br>Correct:{{c1:: c}}<br>;; Storage EFS 
Card039;Cams cloze+; What is the limit on the file size in an EBS volume?<br>a) Unlimited<br>b) 5 TB<br>c) 47.9 TiB (>50TB)<br>d) 10 TiB (~10TB, <11TB) <br>Correct:{{c1:: a}}<br>;; Storage EBS 
Card040;Cams cloze+; What is the size limit of an S3 object?<br>a) Unlimited<br>b) 5 TB<br>c) 47.9 TiB (>50TB)<br>d) 10 TiB (~10TB, <11TB) <br>Correct:{{c1:: b}}<br>;; Storage S3 
Card041;Cams cloze+; An organisation wants to store vast quantities of data with the data accessible to users over HTTPS? What service would be best?<br>a) EFS<br>b) AWS RDS<br>c) S3<br>d) EBS<br>Correct:{{c1:: c [S3 can store an unlimited amount of data and make it available of https]}}<br>;; Storage 
Card042;Cams cloze+; What is true of the difference between CloudWatch resolution and monitoring concepts?<br>a) Resolution is an older concept decomissioned from 2019<br>b) Resolution and Monitoring are synonyms<br>c) Monitoring is an API level operation<br>d) Custom appliactions cannot integrate with CloudWatch using basic monitoring<br>Correct:{{c1:: d [c is wrong. Custom metrics can have a user specified resolution. Monitoring is a service level feature]}}<br>;; CloudWatch 
Card043;Cams cloze+; What S3 feature must also be enabled to use the Object Lock (WORM) feature?<br>a) Server Side Encryption<br>b) CloudTrail Data Events<br>c) MFA Delete<br>d) Bucket Versioning<br>Correct:{{c1:: d}}<br>;; Storage S3 
Card044;Cams basic+; What feature does enabling requester pays on an S3 bucket disble?; anyonmous access; Storage S3
Card045;Cams cloze+; Which of the below are S3 Bucket classes?<br>a) Table Buckets<br>b) Directory Buckets<br>c) Tape Buckets<br>d) General Purpose Buckets<br>Correct:{{c1:: a,b,d}}<br>;; Storage S3 
Card046;Cams cloze+; A CloudWatch Namespace:<br>a) Represents a time-ordered set of data points that are published to CloudWatch.<br>b) Is a container for CloudWatch metrics.<br>c) A name/value pair that is part of the identity of a metric.<br>d) The length of time associated with a specific Amazon CloudWatch statistic.<br>Correct:{{c1:: b}}<br>;; CloudWatch 
Card047;Cams cloze+; A CloudWatch Log group is?<br>a) Something to extract metric observations from ingested events and transform them to data points in a CloudWatch metric. <br>b) Define sets of log streams that share the same retention, monitoring, and access control settings. Each log stream has to belong to one.<br>c) A name/value pair that is part of the identity of a metric.<br>d) A record of some activity recorded by the application or resource being monitored.<br>Correct:{{c1:: b}}<br>;; CloudWatch
Card048;Cams cloze+; What is the Hard limit on the number of IAM users an Account can have?<br>a) 5000<br>b) 200<br>c) 10000<br>d) 20<br>Correct:{{c1:: a)}}<br>;; IAM
Card049;Cams cloze+; What is a real difference between IAM Identity Centre and IAM<br>a) IAM IC has a soft limit of 100,000 users<br>b) IAM is used for federating with Identity Providers<br>c) IAM has a hard limit of 5000 users<br>d) You can create groups using IAM IC<br>Correct:{{c1:: a,c}}<br>;; IAM IAM_Identity_Centre
Card050;Cams cloze+; What service would you use to federate AWS Quicksight access with your on Prem Active Directory Instance?<br>a) AWS Congnito<br>b) IAM<br>c) AWS Organisations<br>d) IAM Identity Centre<br>Correct:{{c1:: d}}<br>;; IAM_Identity_Centre IAM
Card051;Cams cloze+; What is the differece between Dynamo DB Provisioned Capcaity Mode and On Demand Mode?<br>a) You cannot use auto Scaling in Provisioned Capcity mode<br>b) On Demand is best for unpredictable capacity<br>c) You do not have to specify Read Write Capacity for On demand mode<br>d) Using On Demand you par per request.<br>Correct:{{c1:: b,c,d}}<br>;; DynamoDB Storage
Card052;Cams cloze+; When is it possible to restrict what the root user can do?<br>a) Always<br>b) Never<br>c) If AWS Organistions is used<br>d) If AWS Organistions is used but not the managment account root<br>Correct:{{c1:: d}}<br>;; Oragnisations SCP
Card053;Cams cloze+; What class of database is Amazon Redshift?<br>a) Online Analytical Processing (OLAP)<br>b) Online Transactional Processing (OLTP)<br>c) NoSQL<br>d) Vector Database<br>Correct:{{c1:: a}}<br>;; Redshift Storage
Card054;Cams cloze+; What scale does AWS Redshift Cater to? <br>a) 100 TBs<br>b) Multiple Petabytes (>1,<200)<br>c) 100s of Petabytes<br>d) Exabytes<br>Correct:{{c1:: b}}<br>;; Storage Redshift
Card055;Cams cloze+; What is the maximum size that an EBS volume can scale to?<br>a) 64 TiB<br>b) 1 TiB<br>c) 49Tib<br>d) 5TB<br>Correct:{{c1:: a}}<br>;; EBS Storage
Card056;Cams cloze+; How many regions within an AWS organisation can support an IAM Identity Centre instance?<br>a) 1<br>b) 100<br>c) 3<br>d) 10<br>Correct:{{c1:: a}}<br>;; Oragnisations IAM_Identity_Centre
Card057;Cams cloze+; What are appropriate situations to make use of AWS Roles? <br>a) Avoid giving AWS Services Hardcoded credentials<br>b) Break Glass situations<br>c) Cross account Access<br>d) Web Identity Federation<br>Correct:{{c1:: a,b,c,d}}<br>;; IAM
Card058;Cams cloze+; What is true of the difference between a service role and a service Linked role?<br>a) service linked roles cannot be deleted by IAM or root users.<br>b) service roles are pre-defined by AWS<br>c) Service linked roles are pre-defined by AWS<br>d) Service linked roles cannot be passed using the PassRole Permision<br>Correct:{{c1:: a,c}}<br>;; IAM
Card059;Cams cloze+; What is a service role?<br>a) A IAM role assumed by an IAM user<br>b) A role created by AWS for a given service<br>c) A role assumed by a Federated user<br>d) An IAM role assumed by a service<br>Correct:{{c1:: d}}<br>;; IAM
Card060;Cams cloze+; What is the purpose of roles trust policy? <br>a) Controls what actions a role can perform<br>b) Associates a role with trusted entities<br>c) Controls what entities a role can be associated with<br>d) Controls what resources a role can modify<br>Correct:{{c1:: c}}<br>;; IAM
Card061;Cams cloze+; What feature of NoSQL Datbases makes them useful for storing Application state?<br>a) Write Once Read Many<br>b) Low access latency<br>c) horizontal scalability OOTB<br>d) Allows complex queries to be handled by the DB<br>Correct:{{c1:: b,c}}<br>;; storage, DynamoDB
